姓名,关系,条目人数,性别,年龄,出生地,学历,毕业院校,公司名称,公司总部地,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
吴崇仪,未知,1,先生,65,中国-台湾,,,至兴,台湾彰化,汽车零部件,754,107,70,-4%
徐冠巨,未知,1,先生,63,中国-浙江-杭州,硕士,浙江省委党校,传化,浙江杭州,化工、农业、投资,754,-48,70,-18%
许志翰,未知,1,先生,52,,硕士,,卓胜微,江苏无锡,电子器件制造,754,-233,70,-39%
薛济萍,未知,1,先生,73,中国-江苏-南通,,,中天科技,江苏南通,电缆,754,59,70,-7%
姚其湧,未知,1,先生,60,,,,宏兆,广东深圳,投资,754,142,70,0%
袁菁,未知,1,先生,44,,,,沐瞳科技,上海,游戏,754,142,70,0%
张大中,未知,1,先生,76,中国-北京,,,大中,北京,投资,754,-52,70,-20%
张晖,未知,1,先生,46,中国-江苏,,,满帮,贵州贵阳,运输,754,142,70,0%
张利钿,家族,1,先生,60,中国-广东-潮州,,,雅士利,广东潮州,乳业,754,186,70,8%
张跃,夫妇,2,先生,64,中国-湖南-长沙,,,远大,湖南长沙,环保建筑,754,-85,70,-22%
赖玉静,夫妇,2,女士,未知,,,,远大,湖南长沙,环保建筑,754,-85,70,-22%
周国辉,未知,1,先生,59,中国-广东-梅州,,,怡亚通,广东深圳,供应链,754,59,70,-7%
周骏,未知,1,先生,未知,,,,景田,广东深圳,饮料,754,186,70,8%
庄奎龙,家族,1,先生,62,,,,新凤鸣,浙江嘉兴,化纤,754,-48,70,-18%
左宗申,家族,1,先生,71,中国-重庆,,,宗申,重庆,摩托车、房地产,754,336,70,27%
Allan Warburg,未知,1,先生,58,丹麦,,,绫致时装,北京,服装零售,792,216,68,13%
Dan Friis丹飞,未知,1,先生,55,,,,绫致时装,北京,服装零售,792,216,68,13%
丹宏,家族,1,先生,未知,,,,五得利,河北邯郸,面粉,792,69,68,-7%
傅明康,家族,1,先生,61,,,,日月股份,浙江宁波,机械配件,792,-207,68,-32%
邵建雄,未知,1,先生,60,中国-浙江,,,禾迈股份,浙江杭州,光伏逆变器,792,-86,68,-20%
伍超群,未知,1,先生,55,中国-四川-眉山,硕士,,千禾味业,四川眉山,食品,792,-86,68,-20%
张德生,家族,1,先生,75,中国-浙江,,,万马电线电缆,浙江杭州,电缆、房地产、医药,792,69,68,-7%
康永来,未知,1,未知,未知,,,Y,天兵科技,江苏苏州,航天,799,New,67,NEW
柯桂华,未知,1,先生,59,,,,科博达,上海浦东,汽车电子产品,799,-278,67,-42%
张华,未知,1,先生,未知,,,,福华,四川成都,农业、造纸、矿产,799,62,67,-8%
赵曰岭,家族,1,先生,72,中国-山东,,,金岭,山东东营,化工,799,188,67,5%
丁锋,未知,1,先生,58,,,,星星充电,江苏常州,充电桩,803,127,66,0%
邵丹薇,未知,1,女士,42,中国-江苏-常州,,,星星充电,江苏常州,充电桩,803,127,66,0%
夏曙东,未知,1,先生,52,中国-湖北-黄冈,博士,北大,千方科技,北京,智能交通,803,-48,66,-18%
袁桂宝,父女,2,先生,未知,,,,鸿宝集团,河南郑州,房地产、园林,803,-48,66,-18%
袁晓曦,父女,2,先生,未知,,,,鸿宝集团,河南郑州,房地产、园林,803,-48,66,-18%
赵鹏,未知,1,先生,54,中国-山西-长治,,,BOSS直聘,北京,招聘网站,803,-55,66,-20%
包松安,未知,1,先生,未知,中国-浙江-温州,,,亿联投资,天津,房地产、投资,808,0,65,-17%
曹骥,父子,2,先生,72,中国-浙江,,,杭可科技,浙江杭州,锂电池,808,-272,65,-41%
曹政,父子,2,先生,41,,硕士,,杭可科技,浙江杭州,锂电池,808,-272,65,-41%
陈邦栋,未知,1,先生,54,,,,思源电气,上海闵行,输配电设备,808,371,65,30%
陈保华,未知,1,先生,62,中国-浙江-台州,本科,,华海药业,浙江台州,医药,808,132,65,0%
陈竞宏,家族,1,先生,78,,,,华达科技,江苏泰州,汽车零部件,808,New,65,NEW
程涌,夫妇,2,先生,50,中国-湖南-沅江,,,奥士康,广东深圳,高密度印制电路板,808,5,65,-13%
贺波,夫妇,2,女士,53,中国-湖南-沅江,,,奥士康,广东深圳,高密度印制电路板,808,5,65,-13%
邓耀升,未知,1,先生,38,中国-香港,,,升域,香港,房地产,808,132,65,0%
丁永强,未知,1,先生,44,中国-湖北-随州,,,古瑞瓦特,广东深圳,光伏设备,808,-139,65,-28%
董清世,夫妇,2,先生,58,,,,信义,香港,玻璃,808,-102,65,-24%
施丹红,夫妇,2,女士,未知,,,,信义,香港,玻璃,808,-102,65,-24%
何中林,未知,1,先生,56,,,,融通,湖北黄石,锂电池材料,808,5,65,-13%
李朝旺,未知,1,先生,66,中国-广东-江门,硕士,广东广播电视,维达国际,香港,生活卫生产品,808,282,65,18%
李海周,夫妇,2,先生,54,中国-广东-梅州,,,兆威机电,广东深圳,电气设备,808,-102,65,-24%
谢燕玲,夫妇,2,女士,49,,,,兆威机电,广东深圳,电气设备,808,-102,65,-24%
李强,未知,1,先生,未知,,,,百雀羚,上海,化妆品,808,88,65,-7%
李思廉,未知,1,先生,67,中国-香港,硕士,香港中文大学、波士顿大学,富力地产,广东广州,投资、房地产,808,88,65,-7%
李小勤,夫妇,2,先生,53,中国-浙江-杭州,,,匠心家居,江苏常州,家具,808,New,65,NEW
徐梅钧,夫妇,2,女士,41,中国-江西-九江,,,匠心家居,江苏常州,家具,808,New,65,NEW
李新炎,夫妇,2,先生,73,中国-福建-泉州,,,中国龙工,上海松江,重型工程用车,808,132,65,0%
倪银英,夫妇,2,女士,68,,,,中国龙工,上海松江,重型工程用车,808,132,65,0%
励建立,未知,1,先生,52,,,,科达利,广东深圳,锂电池结构件,808,-223,65,-35%
廖杰远,未知,1,先生,未知,,,,微医,浙江杭州,医疗服务,808,132,65,0%
刘明辉,未知,1,先生,61,中国-香港,,,中国燃气,香港,能源,808,88,65,-7%
刘庆峰,未知,1,先生,51,中国-安徽-宣城,博士,中科大,科大讯飞,安徽合肥,软件和信息技术服务业,808,-176,65,-33%
刘先兵,未知,1,未知,未知,,博士,美国康州大学,珂玛科技,江苏苏州,陶瓷材料,808,New,65,NEW
刘修才,家族,1,先生,67,,,,凯赛生物,上海浦东,生物材料,808,-223,65,-35%
陆永华,夫妇,2,先生,61,中国-江苏-南通,,,林洋能源,江苏南通,太阳能,808,88,65,-7%
毛彩虹,夫妇,2,女士,未知,,,,林洋能源,江苏南通,太阳能,808,88,65,-7%
罗康瑞,家族,1,先生,76,中国-香港,,,瑞安,香港,房地产,808,53,65,-11%
吕培榕,未知,1,先生,65,中国-福建-泉州,,,大帝,福建泉州,投资、房地产、服装,808,53,65,-11%
明再远,未知,1,先生,61,中国-四川-德阳,,,新天然气,新疆乌鲁木齐,天然气,808,282,65,18%
欧亚平,未知,1,先生,62,中国-湖南-长沙,本科,北京理工,百仕达,香港,天然气、房地产,808,132,65,0%
邱建林,未知,1,先生,61,中国-浙江,硕士,,恒逸,浙江杭州,化纤,808,53,65,-11%
邱敏秀,家族,1,先生,79,,博士,,晶盛机电,浙江绍兴,机电设备,808,-420,65,-55%
邱祥娟,未知,1,先生,未知,中国-浙江,,,恒逸,浙江杭州,化纤,808,53,65,-11%
邱奕博,未知,1,先生,37,中国-浙江,,,恒逸,浙江杭州,化纤,808,53,65,-11%
裘国根,夫妇,2,先生,55,中国-浙江-绍兴,本科,人大,重阳投资,上海浦东,投资,808,88,65,-7%
骆奕,夫妇,2,女士,未知,,,,重阳投资,上海浦东,投资,808,88,65,-7%
孙毅,未知,1,先生,57,中国-浙江,硕士,,浙富控股,浙江杭州,清洁能源装备,808,-102,65,-24%
王建沂,未知,1,先生,61,中国-浙江,,,富通,浙江杭州,光纤光缆,808,-495,65,-63%
王文城,家族,1,先生,未知,中国-广东,,,大中,广东东莞,石材、房地产,808,88,65,-7%
温纯青,父子,2,先生,53,中国-广东-梅州,,,大百汇,广东深圳,烟草、房地产、白酒,808,200,65,8%
温瀚东,父子,2,未知,未知,中国-广东-佛山,,,大百汇,广东深圳,烟草、房地产、白酒,808,200,65,8%
吴波,家族,1,先生,70,中国-江苏-南京,硕士,,埃斯顿,江苏南京,机械装备制造,808,-243,65,-38%
吴昕阳,家族,1,先生,未知,中国-台湾-台北,,,新光三越,台湾台北,房地产,808,53,65,-11%
熊小川,未知,1,先生,58,,,,美好创亿,广东深圳,医疗机械,808,5,65,-13%
徐旭东,父女,2,先生,54,,,,旭升汽车技术,浙江宁波,汽车零部件,808,-420,65,-55%
徐若桐,父女,2,女士,27,,,,旭升汽车技术,浙江宁波,汽车零部件,808,-420,65,-55%
姚俊良,未知,1,先生,71,,,,美锦能源,山西太原,煤炭,808,5,65,-13%
詹国海,未知,1,先生,56,,,,鑫海控股,河北沧州,石油化工,808,282,65,18%
张波,未知,1,先生,未知,,,,美团,北京,生活服务,808,53,65,-11%
张近东,未知,1,先生,61,中国-江苏-南京,本科,南京师范,苏宁,江苏南京,零售、房地产,808,-139,65,-28%
张思民,夫妇,2,先生,62,中国-吉林-长春,本科,哈工大,海王,广东深圳,医药、房地产,808,5,65,-13%
王劲松,夫妇,2,女士,未知,,,,海王,广东深圳,医药、房地产,808,5,65,-13%
张轩松,未知,1,先生,53,中国-福建-福州,,,永辉,福建福州,超市零售,808,-53,65,-19%
折生阳,未知,1,先生,69,中国-陕西-西安,,,铂力特,陕西西安,金属增材制造,808,-243,65,-38%
钟志平,未知,1,先生,71,中国-澳门,,,创科实业,香港,消费品,808,371,65,30%
周伟健,未知,1,先生,未知,,,,美涂士,广东广州,墙面保护装饰,808,5,65,-13%
朱敏,夫妇,2,先生,76,中国-浙江-宁波,硕士,浙江农业、浙大,赛伯乐,浙江杭州,投资,808,53,65,-11%
徐郁清,夫妇,2,女士,75,,硕士,斯坦福,赛伯乐,浙江杭州,投资,808,53,65,-11%
宗艳民,未知,1,先生,60,,,,天岳先进,山东济南,半导体材料,808,5,65,-13%
褚健,未知,1,先生,61,,,,中控技术,浙江杭州,软件系统,859,-104,63,-21%
樊铮,未知,1,先生,45,中国-上海,,,理想汽车,北京,新能源汽车,859,-388,63,-50%
黄关林,未知,1,先生,58,中国-浙江,本科,浙江工业,申洲针织,浙江宁波,纺织、服装,859,-46,63,-16%
石毅峰,未知,1,先生,50,中国-山西-晋中,,,爱美客,北京,生物制药,859,-388,63,-50%
王斌,未知,1,先生,38,中国-湖南,,,书亦餐饮,四川成都,餐饮连锁,859,-51,63,-19%
程先锋,未知,1,先生,56,,硕士,,亿帆鑫富,浙江杭州,医药,864,-51,62,-17%
戴珊,未知,1,先生,48,,本科,杭州电子科技,阿里系,浙江杭州,电子商务、金融科技,864,76,62,-5%
石克荣,未知,1,先生,67,中国-河北-廊坊,,,汇福,河北廊坊,食品,864,-3,62,-15%
寿柏年,未知,1,先生,62,中国-浙江-绍兴,本科,浙大,绿城服务,浙江杭州,物业管理,864,127,62,-2%
吴泳铭,未知,1,先生,49,,,,阿里系,浙江杭州,电子商务、金融科技,864,76,62,-5%
赵彤彤,未知,1,先生,未知,,,,华住,上海闵行,连锁酒店,864,-109,62,-23%
贾国龙,未知,1,先生,57,中国-内蒙古-巴彦淖尔,本科,大连水产学院,西贝,北京,餐饮,870,138,61,2%
姜龙,未知,1,先生,50,,,,歌尔股份,山东潍坊,声学及多媒体产品,870,New,61,NEW
徐观宝,未知,1,先生,67,中国-浙江-杭州,,,传化,浙江杭州,化工、农业、投资,870,-57,61,-19%
尤金焕,未知,1,先生,未知,,,,华峰,浙江温州,化工、铝业、投资,870,138,61,2%
赵凯,未知,1,先生,未知,,,,成都环球世纪,四川成都,投资、房地产,870,54,61,-10%
蔡开云,未知,1,先生,52,,,,稻花香,湖北宜昌,白酒,875,-120,60,-25%
陈睿,未知,1,先生,46,中国-四川-成都,本科,成都信息工程大学,哔哩哔哩,上海杨浦,视频弹幕网站,875,133,60,0%
杜伟民,未知,1,先生,61,中国-江西-南昌,,暨南大学,康泰生物,广东深圳,生物医药,875,-240,60,-37%
辜侯天仪,家族,1,先生,未知,,,,台泥,台湾台北,水泥,875,65,60,-8%
胡鹍辉,未知,1,先生,33,中国-广东-深圳,,,亚辉龙,广东深圳,生物科技,875,304,60,20%
黄金祥,夫妇,2,先生,59,中国-安徽-宣城,,,安徽广信,安徽宣城,农药化肥、房地产,875,-174,60,-33%
赵启荣,夫妇,2,女士,58,,,,安徽广信,安徽宣城,农药化肥、房地产,875,-174,60,-33%
金鑫,未知,1,先生,57,,,,大金重工,辽宁阜新,钢结构产品,875,21,60,-14%
柯利明,未知,1,未知,未知,,硕士,澳大利亚格里菲斯大学,中国儒意,香港,娱乐,875,New,60,NEW
赖国贵,家族,1,先生,60,,,,春风控股集团,浙江杭州,摩托车,875,124,60,-3%
李杰,未知,1,先生,49,中国-四川,,,极兔速递,印度尼西亚雅加达,物流快递,875,-339,60,-45%
李凯莉,家族,1,女士,未知,,,,龙岩,台湾新北,殡葬服务,875,272,60,13%
李平,未知,1,先生,60,中国-江西-赣州,硕士,合肥工业,天高,广东广州,矿业开发、冶金贸易,875,-62,60,-20%
李咏怡,家族,1,女士,未知,,,,粤丰环保,广东东莞,环保,875,133,60,0%
梁桐灿,未知,1,先生,未知,中国-广东-佛山,,,宏宇,广东佛山,建筑陶瓷,875,-62,60,-20%
刘宝林,未知,1,先生,71,中国-湖北-孝感,,,九州通,湖北武汉,医药流通,875,-62,60,-20%
楼天城,未知,1,先生,未知,,,,小马智行,广东广州,自动驾驶技术,875,133,60,0%
鲁楚平,夫妇,2,先生,59,中国-湖北-孝感,本科,华南理工,大洋电机,广东中山,工业电机,875,65,60,-8%
彭惠,夫妇,2,女士,56,,,,大洋电机,广东中山,工业电机,875,65,60,-8%
吕绍林,夫妇,2,先生,51,中国-湖南-邵阳,,,博众精工,江苏苏州,自动化设备,875,-62,60,-20%
程彩霞,夫妇,2,女士,45,中国-江西-上饶,,,博众精工,江苏苏州,自动化设备,875,-62,60,-20%
缪双大,父子,2,先生,73,中国-江苏-无锡,,,双良,江苏无锡,空调设备,875,-14,60,-18%
缪文彬,父子,2,先生,未知,,,,双良,江苏无锡,空调设备,875,-14,60,-18%
沈波,未知,1,先生,61,,,,分布式资本,上海虹口,投资,875,215,60,9%
苏如春,家族,1,先生,56,,,,华邦,广东广州,房地产、建筑、投资,875,65,60,-8%
孙中伟,夫妇,2,先生,46,中国-山东,,,华宝新能,广东深圳,便携储能电池、太阳能,875,215,60,9%
温美婵,夫妇,2,女士,40,中国-山东,,,华宝新能,广东深圳,便携储能电池、太阳能,875,215,60,9%
童文红,未知,1,先生,54,,,,阿里系,浙江杭州,电子商务、金融科技,875,116,60,-5%
王佳,夫妇,2,先生,55,中国-云南-昆明,硕士,复旦、宾夕法尼亚,启明星辰,北京,网络安全,875,-290,60,-40%
严立,夫妇,2,女士,56,中国-上海,,,启明星辰,北京,网络安全,875,-290,60,-40%
王建东,未知,1,先生,52,中国-河北-邯郸,,,中建融东,河北邯郸,钢铁,875,-120,60,-25%
王明鎏,未知,1,先生,41,中国-四川-成都,硕士,加拿大卑诗大学（UBC）、纽约大学,毛球科技,四川成都,投资、区块链、游戏,875,-206,60,-33%
王铭祥,夫妇,2,先生,46,中国-江苏-南通,硕士,北京中医药、南京理工,东华能源,江苏南京,石油化工,875,-14,60,-18%
周一峰,夫妇,2,女士,未知,,,,东华能源,江苏南京,石油化工,875,-14,60,-18%
王维东,夫妇,2,先生,47,中国-甘肃-酒泉,,,赢合科技,广东深圳,自动化设备,875,21,60,-14%
许小菊,夫妇,2,女士,44,中国-陕西-汉中,,,赢合科技,广东深圳,自动化设备,875,21,60,-14%
王宵锟,夫妇,2,先生,41,,,,茶百道,四川成都,餐饮连锁,875,-487,60,-59%
刘洧宏,夫妇,2,女士,43,,,,茶百道,四川成都,餐饮连锁,875,-487,60,-59%
王跃旦,家族,1,先生,71,,,,富佳实业,浙江宁波,家用电器,875,282,60,15%
王泽龙,未知,1,先生,未知,,,,中核钛白,广东广州,钛白粉,875,-169,60,-29%
谢剑辉,未知,1,先生,未知,,,,富兴,湖南长沙,汽车服务，产业园区,875,193,60,3%
徐进,未知,1,先生,59,,,,口子窖,安徽淮北,白酒,875,-67,60,-23%
徐少春,未知,1,先生,61,中国-湖南-益阳,本科,东南,金蝶国际,广东深圳,财务软件,875,-290,60,-40%
杨受成,家族,1,先生,80,中国-香港,,,英皇,香港,房地产,875,-14,60,-18%
袁莉萍,未知,1,先生,53,,,,康泰生物,广东深圳,生物医药,875,-206,60,-33%
张清森,未知,1,未知,未知,,本科,仰恩大学,绿联科技,广东深圳,电子配件,875,New,60,NEW
张勇,未知,1,先生,未知,,本科,上财,阿里系,浙江杭州,电子商务、金融科技,875,112,60,-6%
张重兴,家族,1,未知,未知,,,,台湾精锐,台湾台中,工业机械,875,New,60,NEW
赵满堂,家族,1,先生,64,中国-甘肃-天水,,,盛达,甘肃兰州,矿业、酒店,875,21,60,-14%
赵延平,夫妇,2,先生,56,中国-吉林,本科,浙大,华测导航,上海青浦,卫星导航,875,65,60,-8%
杨云,夫妇,2,女士,43,,,,华测导航,上海青浦,卫星导航,875,65,60,-8%
甄荣辉,未知,1,先生,62,中国-香港,本科,香港中文大学,51job,上海静安,互联网服务,875,133,60,0%
周旭明,家族,1,先生,51,,,,科思股份,江苏南京,化学品原料,875,-71,60,-24%
陈泽民,家族,1,先生,81,中国-重庆-江津,本科,,三全食品,河南郑州,食品,918,-107,59,-23%
刘德,未知,1,先生,未知,,硕士,北京理工大学、美国加州亚帕萨迪Art Center College of Design,小米,北京,北京,918,New,59,NEW
姚劲波,未知,1,先生,48,中国-湖南-益阳,本科,中国海洋,58同城,北京,生活服务,918,90,59,-2%
张亚,夫妇,2,先生,55,,,,国光电气,四川成都,微波电子器件,918,-333,59,-41%
周文梅,夫妇,2,女士,54,,,,国光电气,四川成都,微波电子器件,918,-333,59,-41%
赵鸿飞,未知,1,先生,50,,硕士,北京理工,中科创达,北京,智能终端操作系统,918,-397,59,-49%
吕建明,未知,1,先生,59,中国-浙江,硕士,浙大,通策医疗,浙江杭州,医疗器械,923,-217,58,-32%
申东日,家族,1,先生,52,中国-黑龙江-绥化,,,朗姿,北京,服装,923,-175,58,-29%
王德根,夫妇,2,先生,53,中国-四川,,,德康农牧,四川成都,畜牧业、教育,923,-254,58,-36%
张强,夫妇,2,女士,未知,中国-四川,,,德康农牧,四川成都,畜牧业、教育,923,-254,58,-36%
吴城,未知,1,先生,未知,,,,国城,北京,矿业,923,-110,58,-23%
吴凯庭,家族,1,先生,未知,中国-福建-漳州,,,万利达,福建漳州,电子信息产品,923,-217,58,-32%
谢识才,家族,1,先生,63,中国-浙江-杭州,本科,,博威合金,浙江宁波,合金材料,923,85,58,-3%
余海军,未知,1,先生,50,中国-浙江-绍兴,本科,,宝利德,浙江杭州,汽车销售,923,17,58,-11%
周华松,夫妇,2,先生,58,,,,松霖科技,福建厦门,淋浴设备,923,256,58,16%
吴文利,夫妇,2,先生,56,,,,松霖科技,福建厦门,淋浴设备,923,256,58,16%
周文,夫妇,2,先生,59,,博士,工商管理,普利特,上海青浦,塑料制造、汽车配件,923,-217,58,-32%
郭艺群,夫妇,2,女士,60,,,,普利特,上海青浦,塑料制造、汽车配件,923,-217,58,-32%
陈学利,父子,2,先生,73,,,,威高,山东威海,医疗器械,932,-347,57,-43%
陈林,父子,2,先生,未知,,,,威高,山东威海,医疗器械,932,-347,57,-43%
苏增福,家族,1,先生,84,中国-浙江-台州,,,苏泊尔,浙江杭州,厨具、投资,932,59,57,-10%
王富济,未知,1,先生,未知,,,,片仔癀,福建漳州,医药,932,-119,57,-24%
吴惠芳,未知,1,先生,未知,中国-江苏-,,,永钢,江苏苏州,钢铁,932,8,57,-12%
吴永华,未知,1,先生,54,中国-福建,,,安踏,福建厦门,体育用品,932,8,57,-12%
钟培峰,家族,1,先生,61,,硕士,乔治亚理工,晶晨股份,上海浦东,电子,932,-177,57,-29%
周俊杰,未知,1,先生,56,,,,银都股份,浙江杭州,餐饮设备,932,76,57,-5%
刘姗姗,未知,1,女士,未知,,,,摩尔线程,北京,半导体,939,141,56,0%
陈妙林,未知,1,先生,72,中国-浙江-杭州,,,开元旅业,浙江杭州,房地产,940,150,55,0%
陈清州,夫妇,2,先生,59,中国-福建-泉州,,,海能达,广东深圳,专业无线通信设备,940,-44,55,-21%
翁丽敏,夫妇,2,女士,57,中国-福建-泉州,,,海能达,广东深圳,专业无线通信设备,940,-44,55,-21%
陈育宣,夫妇,2,先生,58,中国-江西-九江,,,电连技术,广东深圳,电子元件连接器,940,68,55,-8%
林德英,夫妇,2,女士,59,中国-江西-九江,,,电连技术,广东深圳,电子元件连接器,940,68,55,-8%
陈卓贤,家族,1,先生,57,中国-广东-中山,,,雅居乐,广东广州,投资、房地产,940,68,55,-8%
邓颖忠,家族,1,先生,73,中国-广东,,,中顺洁柔,广东中山,生活用纸,940,-185,55,-31%
郭振宇,父子,2,先生,61,中国-云南-昆明,,,贝泰妮,云南昆明,护肤品,940,-469,55,-56%
Kevin Guo,父子,2,先生,30,,,,贝泰妮,云南昆明,护肤品,940,-469,55,-56%
何德佑,未知,1,未知,未知,,,,嘉泽端子,台湾基隆,电子元件,940,New,55,NEW
何亚民,家族,1,先生,67,中国-四川,,,利君股份,四川成都,机械制造,940,-79,55,-25%
花轩德,家族,1,先生,81,中国-浙江-台州,,,中贝九洲,浙江台州,医药,940,-375,55,-48%
黄炳文,家族,1,先生,70,,,,东风印刷,广东汕头,印刷,940,-44,55,-21%
黄善兵,家族,1,先生,68,,,,捷捷微电,江苏南通,半导体器件,940,239,55,10%
黄婉茹,未知,1,先生,未知,,,,联泰,广东汕头,基础建设、房地产,940,68,55,-8%
江淦钧,未知,1,先生,60,中国-广东-广州,,,索菲亚,广东广州,家具,940,0,55,-15%
姜桂廷,夫妇,2,先生,66,,本科,,景津环保,山东德州,设备制造,940,-185,55,-31%
宋桂花,夫妇,2,女士,65,,,,景津环保,山东德州,设备制造,940,-185,55,-31%
蒋锦志,未知,1,先生,未知,,本科,武大,景林资产,上海浦东,投资,940,150,55,0%
金磊,未知,1,先生,59,,,,长春高新,吉林长春,生物制药,940,-355,55,-45%
黎经华,未知,1,先生,62,,,,罗浮宫家居,广东佛山,家具零售,940,68,55,-8%
李建华,父女,2,先生,71,中国-广东-梅州,,,威华,广东广州,地板,940,68,55,-8%
李晓奇,父女,2,女士,未知,,,,威华,广东广州,地板,940,68,55,-8%
李文美,夫妇,2,先生,62,中国-吉林-长春,硕士,吉大,万孚生物,广东广州,快速诊断试剂,940,68,55,-8%
王继华,夫妇,2,女士,62,中国-吉林-长春,,,万孚生物,广东广州,快速诊断试剂,940,68,55,-8%
李学凌,未知,1,先生,51,,,,欢聚时代,广东深圳,游戏、语音软件,940,150,55,0%
李缜,父子,2,先生,60,,,,国轩高科,安徽合肥,电池、房地产、影视、投资,940,-16,55,-19%
李晨,父子,2,先生,39,,,,国轩高科,安徽合肥,电池、房地产、影视、投资,940,-16,55,-19%
林海川,家族,1,先生,52,中国-广东-东莞,硕士,,宏川,广东东莞,仓储物流,940,-185,55,-31%
吕大龙,未知,1,先生,未知,,,,韦尔股份,上海浦东,投资,940,68,55,-8%
马国林,未知,1,先生,60,中国-浙江,,,卫星石化,浙江嘉兴,化工,940,217,55,6%
孟庆南,家族,1,先生,66,中国-湖北,硕士,,武汉凡谷,湖北武汉,通信设备元件,940,202,55,2%
潘龙泉,未知,1,先生,61,,,,泉峰,江苏南京,电动工具,940,-185,55,-31%
彭浩,未知,1,先生,57,中国-陕西-咸阳,硕士,,信维通信,广东深圳,通信部件,940,207,55,4%
瞿晓铧,夫妇,2,先生,60,,,,阿特斯,江苏苏州,光伏设备,940,-185,55,-31%
张含冰,夫妇,2,先生,未知,,,,阿特斯,江苏苏州,光伏设备,940,-185,55,-31%
商晓波,夫妇,2,先生,50,中国-浙江-绍兴,,,鸿路钢构,安徽合肥,金属结构制造业,940,-375,55,-48%
邓烨芳,夫妇,2,女士,未知,,,,鸿路钢构,安徽合肥,金属结构制造业,940,-375,55,-48%
束小龙,夫妇,2,先生,36,中国-安徽-合肥,,,老乡鸡,安徽合肥,餐饮,940,150,55,0%
董雪,夫妇,2,女士,未知,,,,老乡鸡,安徽合肥,餐饮,940,150,55,0%
孙永根,未知,1,先生,53,中国-浙江-绍兴,,,天圣控股,浙江绍兴,化纤,940,133,55,-4%
汪东颖,未知,1,先生,58,中国-甘肃-兰州,,,纳思达,广东珠海,打印设备,940,150,55,0%
王刚,未知,1,先生,48,,,,满帮,贵州贵阳,物流,940,68,55,-8%
王坚,未知,1,先生,62,,本科,浙大,阿里系,浙江杭州,电子商务、金融科技,940,150,55,0%
王俊,未知,1,先生,48,,本科,北大,碳云、华大基因,广东深圳,医疗大数据、基因检测,940,68,55,-8%
伍亚林,夫妇,2,先生,57,中国-福建-莆田,,,博俊科技,江苏苏州,汽车零部件,940,New,55,NEW
伍阿凤,夫妇,2,女士,55,,,,博俊科技,江苏苏州,汽车零部件,940,New,55,NEW
谢秉政,夫妇,2,先生,55,中国-浙江-温州,,,比音勒芬,广东广州,服装,940,-234,55,-35%
冯玲玲,夫妇,2,女士,51,中国-浙江-温州,,,比音勒芬,广东广州,服装,940,-234,55,-35%
杨文龙,家族,1,先生,62,中国-江西-宜春,硕士,人大,仁和药业,江西宜春,医药,940,-79,55,-25%
姚文琛,家族,1,先生,73,,,,姚记扑克,上海,文娱,940,-79,55,-25%
张学武,未知,1,先生,50,,,,盐津铺子,湖南长沙,食品制造,940,-127,55,-27%
张学政,未知,1,先生,49,,本科,,闻泰科技,浙江嘉兴,半导体,940,-271,55,-39%
张镇潮,未知,1,先生,57,,,,税友股份,浙江杭州,财税软件,940,-234,55,-35%
赵轶,夫妇,2,先生,48,中国-浙江,本科,,长川科技,浙江杭州,半导体设备,940,0,55,-15%
徐昕,夫妇,2,女士,未知,,,,长川科技,浙江杭州,半导体设备,940,0,55,-15%
郑元豹,未知,1,先生,66,中国-浙江-温州,,,人民电器,浙江温州,工业电器、房地产、投资,940,68,55,-8%
钟声坚,未知,1,先生,66,中国-广东-汕尾,,,仁恒,上海浦东,房地产,940,-44,55,-21%
周光平,家族,1,先生,未知,,,,小米,北京,智能硬件与技术、投资,940,New,55,NEW
周剑,未知,1,先生,48,,,,迈为股份,江苏苏州,智能制造装备,940,-404,55,-50%
杜越新,未知,1,先生,未知,,,,嘉德,北京,投资、拍卖,987,188,54,6%
耿殿根,未知,1,先生,68,,硕士,德克萨斯,光环新网,北京,电信运营,987,4,54,-14%
卢荣富,未知,1,先生,53,,本科,复旦,亿联网络,福建厦门,通信,987,21,54,-10%
徐子泉,夫妇,2,先生,66,,本科,,捷成,北京,软件与信息服务,987,18,54,-11%
康宁,夫妇,2,女士,未知,,,,捷成,北京,软件与信息服务,987,18,54,-11%
奥凤廷,未知,1,先生,65,,,,蒙泰,内蒙古鄂尔多斯,煤炭、热电、铝合金,991,New,53,NEW
代田田,未知,1,先生,41,,硕士,上海交大、上海交大,柏楚电子,上海闵行,信息技术,991,17,53,-12%
丁水波,未知,1,先生,54,中国-福建-泉州,,,特步,福建厦门,体育用品,991,-130,53,-27%
刘满世,家族,1,先生,75,中国-内蒙古,,,满世,内蒙古鄂尔多斯,煤炭,991,188,53,6%
邱达强,未知,1,先生,62,中国-香港,,,富地石油,香港,石油化工,991,99,53,-4%
施清岛,家族,1,先生,59,,,,台华新材,浙江嘉兴,纺织材料,991,99,53,-4%
吴英,未知,1,先生,60,,,,美畅,陕西咸阳,新材料,991,-455,53,-52%
谢可滔,未知,1,先生,60,,硕士,,中教,香港,教育,991,-51,53,-18%
